guid,nyu.libraries.collection,dc.title,dc.identifier,dc.source,dc.language,dc.extent,dc.extent,dc.coverage.temporal,dc.coverage.temporal,dc.accrualPeriodicity,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.jurisdiction
aggregatedNewspapers1321,AggregatedNewspapers,"Valley Advocate",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers1322,AggregatedNewspapers,"Valley Banner, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers1323,AggregatedNewspapers,"Valley Independent, The",,"Access World News",,,,03/01/2005,,,,,,,
aggregatedNewspapers1324,AggregatedNewspapers,"Valley Morning Star",,"Access World News",,,,,,,,,,,
aggregatedNewspapers1325,AggregatedNewspapers,"Valley News Dispatch",,"Access World News",,,,03/01/2005,,,,,,,
aggregatedNewspapers1326,AggregatedNewspapers,"Valley Times",,"Access World News",,,,06/01/1995,,,,,,,
aggregatedNewspapers1327,AggregatedNewspapers,"Valley Times-News, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers1328,AggregatedNewspapers,"Vassar Pioneer Times, The",,"Access World News",,,,03/09/2005,,,,,,,
aggregatedNewspapers1329,AggregatedNewspapers,"Vaughan Citizen",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers1330,AggregatedNewspapers,"Venice Gondolier Sun",,"Access World News",,,,01/01/1996,,,,,,,
aggregatedNewspapers1331,AggregatedNewspapers,"Ventura County Star",,"Access World News",,,,01/01/1997,,,,,,,
aggregatedNewspapers1332,AggregatedNewspapers,"Vero Beach Press Journal",,"Access World News",,,,12/02/1997,,,,,,,
aggregatedNewspapers1333,AggregatedNewspapers,"Victoria Advocate, The",,"Access World News",,,,01/01/1999,,,,,,,
aggregatedNewspapers1334,AggregatedNewspapers,"Victoria News",,"Access World News",,,"Full-text: electronic edition of record of publication",05/19/2004,,,,,,,
aggregatedNewspapers1335,AggregatedNewspapers,"Victoria Weekend",,"Access World News",,,"Full-text: electronic edition of record of publication",05/28/2004,,,,,,,
aggregatedNewspapers1336,AggregatedNewspapers,"Vietnam News Briefs",,"Access World News",,"FT-AIW","Full-text: selected articles",07/01/2004,,,,,,,
aggregatedNewspapers1337,AggregatedNewspapers,"Vincennes Sun-Commercial",,"Access World News",,,,09/17/2002,,,,,,,
aggregatedNewspapers1338,AggregatedNewspapers,"Vindicator",,"Access World News",,,,,,,,,,,
aggregatedNewspapers1339,AggregatedNewspapers,"Virginian-Pilot, The",,"Access World News",,,,04/01/1990,,,,,,,
aggregatedNewspapers1340,AggregatedNewspapers,"Visalia Times-Delta",,"Access World News",,,,08/07/1999,,,,,,,
aggregatedNewspapers1341,AggregatedNewspapers,"Visitor, The",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",09/01/2004,,,,,,,
aggregatedNewspapers1342,AggregatedNewspapers,"Voice of the Farmer",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers1343,AggregatedNewspapers,"Waco Tribune-Herald",,"Access World News",,,,08/30/2004,,,,,,,
aggregatedNewspapers1344,AggregatedNewspapers,"Walkerton Herald-Times",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers1345,AggregatedNewspapers,"Wall Street Journal, The (abstracts)",,"Access World News",,,,03/09/2004,,,,,,,
aggregatedNewspapers1346,AggregatedNewspapers,"Wallowa County Chieftain",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers1347,AggregatedNewspapers,"Walnut Creek Journal",,"Access World News",,,,01/04/1996,,,,,,,
aggregatedNewspapers1348,AggregatedNewspapers,"Walton Sun, The",,"Access World News",,,,,,,,,,,
aggregatedNewspapers1349,AggregatedNewspapers,"Walton Tribune, The",,"Access World News",,,,03/19/2003,,,,,,,
aggregatedNewspapers1350,AggregatedNewspapers,"Warren Sentinel",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers1351,AggregatedNewspapers,"Warwick Advertiser, The",,"Access World News",,,,08/29/2006,,,,,,,
aggregatedNewspapers1352,AggregatedNewspapers,"Wasaga Sun, The",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers1353,AggregatedNewspapers,"Washington Post, The",,"Access World News",,,,01/01/1977,,,,,,,
aggregatedNewspapers1354,AggregatedNewspapers,"Washington Times, The",,"Access World News",,,,01/01/1990,,,,,,,
aggregatedNewspapers1355,AggregatedNewspapers,"Waterloo Chronicle",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers1356,AggregatedNewspapers,"Waterloo Courier",,"Access World News",,,,,,,,,,,
aggregatedNewspapers1357,AggregatedNewspapers,"Watertown Daily Times",,"Access World News",,,,02/22/1988,,,,,,,
aggregatedNewspapers1358,AggregatedNewspapers,"Waukesha Freeman",,"Access World News",,,,06/12/2000,,,,,,,
aggregatedNewspapers1359,AggregatedNewspapers,"Wausau Daily Herald",,"Access World News",,,,08/01/1999,,,,,,,
aggregatedNewspapers1360,AggregatedNewspapers,"Waycross Journal-Herald",,"Access World News",,,,05/06/2006,,,,,,,
aggregatedNewspapers1361,AggregatedNewspapers,"Wayne-Wilson News Leader",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers1362,AggregatedNewspapers,"Weekend Australian",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers1363,AggregatedNewspapers,"Weekly Independent, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers1364,AggregatedNewspapers,"Weekly Post, The",,"Access World News",,,,03/01/2001,,,,,,,
aggregatedNewspapers1365,AggregatedNewspapers,"Weekly Times",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers1366,AggregatedNewspapers,"Weekly Times, The",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers1367,AggregatedNewspapers,"Welt am Sonntag",,"Access World News",,"BBC","Full-text: selected articles",11/26/2000,,,,,,,
aggregatedNewspapers1368,AggregatedNewspapers,"West County News",,"Access World News",,,,03/14/2002,,,,,,,
aggregatedNewspapers1369,AggregatedNewspapers,"West County Times",,"Access World News",,,,06/11/1995,,,,,,,
aggregatedNewspapers1370,AggregatedNewspapers,"West County Weekly",,"Access World News",,,,10/19/2001,04/09/2004,,,,,,
aggregatedNewspapers1371,AggregatedNewspapers,"West Milford Messenger, The",,"Access World News",,,,08/29/2006,,,,,,,
aggregatedNewspapers1372,AggregatedNewspapers,"West Yorkshire and North Yorkshire Counties Publications",,"Access World News",,,"Full-text: selected articles",01/17/1998,,,,,,,
aggregatedNewspapers1373,AggregatedNewspapers,"Westender",,"Access World News",,,"Full-text: electronic edition of record of publication",05/20/2004,,,,,,,
aggregatedNewspapers1374,AggregatedNewspapers,"Westerly Sun, The",,"Access World News",,,,04/19/2000,,,,,,,
aggregatedNewspapers1375,AggregatedNewspapers,"Western Daily Press ",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",06/10/1999,,,,,,,
aggregatedNewspapers1376,AggregatedNewspapers,"Western Mail ",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",11/28/2001,,,,,,,
aggregatedNewspapers1377,AggregatedNewspapers,"Western Morning News",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",06/01/1999,,,,,,,
aggregatedNewspapers1378,AggregatedNewspapers,"Westmoreland County News",,"Access World News",,,,,,,,,,,
aggregatedNewspapers1379,AggregatedNewspapers,"Westport News",,"Access World News",,,,09/17/2001,,,,,,,
aggregatedNewspapers1380,AggregatedNewspapers,"Westside News",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers1381,AggregatedNewspapers,"Wichita Eagle, The",,"Access World News",,,,10/01/1984,,,,,,,
aggregatedNewspapers1382,AggregatedNewspapers,"Wichita Falls Times Record News",,"Access World News",,,,11/16/1998,,,,,,,
aggregatedNewspapers1383,AggregatedNewspapers,"Wiener Zeitung",,"Access World News",,"BBC","Full-text: selected articles",02/11/1997,,,,,,,
aggregatedNewspapers1384,AggregatedNewspapers,"Wigan Observer",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",08/30/2004,,,,,,,
aggregatedNewspapers1385,AggregatedNewspapers,"Williamson Daily News, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers1386,AggregatedNewspapers,"Willits News, The",,"Access World News",,,,09/12/2003,,,,,,,
aggregatedNewspapers1387,AggregatedNewspapers,"Wiltshire County Publications",,"Access World News",,,"Full-text: selected articles",04/14/2000,,,,,,,
aggregatedNewspapers1388,AggregatedNewspapers,"Winchester Star, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers1389,AggregatedNewspapers,"Wingham Advance-Times, The",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers1390,AggregatedNewspapers,"Winston-Salem Journal",,"Access World News",,,,11/01/1997,,,,,,,
aggregatedNewspapers1391,AggregatedNewspapers,"Wisconsin State Journal",,"Access World News",,,,03/01/1989,,,,,,,
aggregatedNewspapers1392,AggregatedNewspapers,"Worcester Telegram & Gazette",,"Access World News",,,,01/01/1989,,,,,,,
aggregatedNewspapers1393,AggregatedNewspapers,"Worcestershire, West Midlands, Herefordshire, and Shorpshire Counties Publications",,"Access World News",,,"Full-text: selected articles",03/27/2000,,,,,,,
aggregatedNewspapers1394,AggregatedNewspapers,"World Association of Newspapers",,"Access World News",,"BBC","Full-text: selected articles",10/12/1999,,,,,,,
aggregatedNewspapers1395,AggregatedNewspapers,"World Entertainment News Network",,"Access World News",,"Comtex News Network","Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers1396,AggregatedNewspapers,"World, The",,"Access World News",,,,03/22/2004,,,,,,,
aggregatedNewspapers1397,AggregatedNewspapers,"WorldSources Online",,"Access World News",,"FDCH-eMedia","Full-text: selected articles",03/29/2003,,,,,,,
aggregatedNewspapers1398,AggregatedNewspapers,"WOW Weekly",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers1399,AggregatedNewspapers,"Wynnum Herald",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers1400,AggregatedNewspapers,"Wyoming Tribune-Eagle",,"Access World News",,,,06/26/1997,,,,,,,
aggregatedNewspapers1401,AggregatedNewspapers,"Yadkin Ripple, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers1402,AggregatedNewspapers,"Yakima Herald-Republic",,"Access World News",,,,12/10/1997,,,,,,,
aggregatedNewspapers1403,AggregatedNewspapers,"York Daily Record",,"Access World News",,,,08/01/1992,,,,,,,
aggregatedNewspapers1404,AggregatedNewspapers,"York Dispatch, The",,"Access World News",,,,09/01/2001,,,,,,,
aggregatedNewspapers1405,AggregatedNewspapers,"York Guardian, The",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers1406,AggregatedNewspapers,"York News-Times",,"Access World News",,,,03/08/2000,,,,,,,
aggregatedNewspapers1407,AggregatedNewspapers,"York Region Business Times",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers1408,AggregatedNewspapers,"York Sunday News",,"Access World News",,,,09/16/2001,,,,,,,
aggregatedNewspapers1409,AggregatedNewspapers,"Yorkshire Evening Post",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",08/28/2004,,,,,,,
aggregatedNewspapers1410,AggregatedNewspapers,"Yorkshire Post",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",08/28/2004,,,,,,,
aggregatedNewspapers1411,AggregatedNewspapers,"ABC (Abstracts)",,"Factiva","English","Selected Coverage","Translated Abstracts",07/12/2000,"Active","Irregular",,,,,
aggregatedNewspapers1412,AggregatedNewspapers,"Aberdeen Evening Express (Scotland, Abstracts)",,"Factiva","English","Selected Coverage","Abstracts",11/16/1996,"Active","Daily",,,,,
aggregatedNewspapers1413,AggregatedNewspapers,"Aberdeen Herald & Post",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1414,AggregatedNewspapers,"Aberdeen Press & Journal (Scotland)",,"Factiva","English","Selected Coverage","Full Text",11/05/1981,"Active","Daily",,,,,
aggregatedNewspapers1415,AggregatedNewspapers,"Adelaide Advertiser",,"Factiva","English","Full Coverage","Full Text",01/14/1993,"Active","Daily",,,,,
aggregatedNewspapers1416,AggregatedNewspapers,"Advertiser (ABIX Abstracts), The",,"Factiva","English","Selected Coverage","Abstracts",08/01/1996,"Active","Monday-Saturday",,,,,
aggregatedNewspapers1417,AggregatedNewspapers,"Ashby & Coalville Mail",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1418,AggregatedNewspapers,"Australian (ABIX Abstracts), The",,"Factiva","English","Selected Coverage","Abstracts",08/01/1996,"Active","Daily",,,,,
aggregatedNewspapers1419,AggregatedNewspapers,"Austria Today",,"Factiva","English","Full Coverage","Full Text",06/25/2002,"Active","Tuesday-Saturday",,,,,
aggregatedNewspapers1420,AggregatedNewspapers,"Balanﾍo Do Mercado Segurador (Portuguese Language)",,"Factiva","Portuguese","Selected Coverage","Full Text",12/31/1997,"Active","Annually",,,,,
aggregatedNewspapers1421,AggregatedNewspapers,"Bath Chronicle",,"Factiva","English","Full Coverage","Full Text",03/04/2002,"Active","Daily",,,,,
aggregatedNewspapers1422,AggregatedNewspapers,"Belfast News Letter (U.K.)",,"Factiva","English","Full Coverage","Full Text",12/20/1997,"Active","Daily",,,,,
aggregatedNewspapers1423,AggregatedNewspapers,"Berner Zeitung (German Language)",,"Factiva","German","Full Coverage","Full Text",09/22/2000,"Active","Daily",,,,,
aggregatedNewspapers1424,AggregatedNewspapers,"Birmingham Post (U.K.)",,"Factiva","English","Full Coverage","Full Text",12/31/1981,"Active","Daily",,,,,
aggregatedNewspapers1425,AggregatedNewspapers,"Bisnis Indonesia",,"Factiva","English","Full Coverage","Full Text",09/23/1997,"Active","Daily",,,,,
aggregatedNewspapers1426,AggregatedNewspapers,"Blackpool Gazette",,"Factiva","English","Full Coverage","Full Text",07/01/2001,"Active","Daily",,,,,
aggregatedNewspapers1427,AggregatedNewspapers,"Boston Target",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1428,AggregatedNewspapers,"Bradford Telegraph and Argus (U.K., Abstracts)",,"Factiva","English","Selected Coverage","Abstracts",11/16/1996,"Active","Daily",,,,,
aggregatedNewspapers1429,AggregatedNewspapers,"Brentwood Gazette",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1430,AggregatedNewspapers,"Bridgwater Times",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1431,AggregatedNewspapers,"Brighton Evening Argus (U.K., Abstracts)",,"Factiva","English","Selected Coverage","Abstracts",11/16/1996,"Active","Daily",,,,,
aggregatedNewspapers1432,AggregatedNewspapers,"Brisbane News",,"Factiva","English","Full Coverage","Full Text",08/15/2001,"Active","Weekly",,,,,
aggregatedNewspapers1433,AggregatedNewspapers,"Bristol Evening Observer",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1434,AggregatedNewspapers,"Bristol Evening Post",,"Factiva","English","Full Coverage","Full Text",05/02/2002,"Active","Monday-Saturday",,,,,
aggregatedNewspapers1435,AggregatedNewspapers,"Bristol Evening Post (U.K., Abstracts)",,"Factiva","English","Selected Coverage","Abstracts",11/16/1996,"Active","Daily",,,,,
aggregatedNewspapers1436,AggregatedNewspapers,"Broadcast Monitoring - All",,"Factiva","English","Selected Coverage","Abstracts",01/09/1996,"Active","Daily",,,,,
aggregatedNewspapers1437,AggregatedNewspapers,"Burnham Times",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1438,AggregatedNewspapers,"Business Daily",,"Factiva","English","Selected Coverage","Translated Abstracts",01/01/2001,"Active","Daily",,,,,
aggregatedNewspapers1439,AggregatedNewspapers,"Business Day (Thailand)",,"Factiva","English","Full Coverage","Full Text",06/01/1998,"Active","Daily",,,,,
aggregatedNewspapers1440,AggregatedNewspapers,"Business Recorder",,"Factiva","English","Full Coverage","Full Text",11/01/2001,"Active","Daily",,,,,
aggregatedNewspapers1441,AggregatedNewspapers,"Cairns Post",,"Factiva","English","Full Coverage","Full Text",01/26/2001,"Active","Monday-Saturday",,,,,
aggregatedNewspapers1442,AggregatedNewspapers,"Calgary Herald",,"Factiva","English","Full Coverage","Full Text",12/01/2001,"Active","Daily",,,,,
aggregatedNewspapers1443,AggregatedNewspapers,"Cambridge Evening News (U.K., Abstracts)",,"Factiva","English","Selected Coverage","Abstracts",11/16/1996,"Active","Daily",,,,,
aggregatedNewspapers1444,AggregatedNewspapers,"Cambridge Reporter",,"Factiva","English","Full Coverage","Full Text",12/01/2001,"Active","Twice weekly",,,,,
aggregatedNewspapers1445,AggregatedNewspapers,"Canberra Times (ABIX abstracts)",,"Factiva","English","Selected Coverage","Abstracts",10/07/1996,"Active","Daily",,,,,
aggregatedNewspapers1446,AggregatedNewspapers,"Cannock Mercury",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1447,AggregatedNewspapers,"Carmarthen Herald",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1448,AggregatedNewspapers,"Carmarthen Journal",,"Factiva","English","Full Coverage","Full Text",03/04/1998,"Active","Weekly",,,,,
aggregatedNewspapers1449,AggregatedNewspapers,"Central Daily News",,"Factiva","English","Selected Coverage","Translated Abstracts",01/01/2001,"Active","Daily",,,,,
aggregatedNewspapers1450,AggregatedNewspapers,"Central Somerset Gazette",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1451,AggregatedNewspapers,"Charleston Gazette",,"Factiva","English","Full Coverage","Full Text",01/01/1994,"Active","Daily",,,,,
aggregatedNewspapers1452,AggregatedNewspapers,"Cheddar Valley Gazette",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1453,AggregatedNewspapers,"Cheltenham News",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1454,AggregatedNewspapers,"Chorley Guardian",,"Factiva","English","Full Coverage","Full Text",05/15/2002,"Active","Weekly",,,,,
aggregatedNewspapers1455,AggregatedNewspapers,"Christchurch Press, The",,"Factiva","English","Full Coverage","Full Text",01/10/1997,"Active","Daily",,,,,
aggregatedNewspapers1456,AggregatedNewspapers,"Chronicle-Tribune",,"Factiva","English","Full Coverage","Full Text",01/01/2002,"Active","Daily",,,,,
aggregatedNewspapers1457,AggregatedNewspapers,"CIDC Insight",,"Factiva","English","Full Coverage","Full Text",01/02/1998,"Active","Daily",,,,,
aggregatedNewspapers1458,AggregatedNewspapers,"Citizen (U.K.), The",,"Factiva","English","Full Coverage","Full Text",01/11/1998,"Active","Daily",,,,,
aggregatedNewspapers1459,AggregatedNewspapers,"Clarin (Abstracts), El",,"Factiva","English","Selected Coverage","Translated Abstracts",07/15/2000,"Active","Irregular",,,,,
aggregatedNewspapers1460,AggregatedNewspapers,"Clevedon Mercury",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1461,AggregatedNewspapers,"Colchester Evening Gazette (U.K., Abstracts)",,"Factiva","English","Selected Coverage","Abstracts",11/29/1996,"Active","Daily",,,,,
aggregatedNewspapers1462,AggregatedNewspapers,"Comercio (Abstracts), El",,"Factiva","English","Selected Coverage","Translated Abstracts",07/17/2000,"Active","Irregular",,,,,
aggregatedNewspapers1463,AggregatedNewspapers,"Cornish Guardian (U.K.)",,"Factiva","English","Full Coverage","Full Text",02/05/1998,"Active","Monthly",,,,,
aggregatedNewspapers1464,AggregatedNewspapers,"Cornishman, The",,"Factiva","English","Selected Coverage","Full Text",06/18/1998,"Active","Weekly",,,,,
aggregatedNewspapers1465,AggregatedNewspapers,"Countryman (Australia)",,"Factiva","English","Full Coverage","Full Text",09/05/1996,"Active","Weekly",,,,,
aggregatedNewspapers1466,AggregatedNewspapers,"Courier-Mail (ABIX abstracts)",,"Factiva","English","Selected Coverage","Abstracts",08/01/1996,"Active","Daily",,,,,
aggregatedNewspapers1467,AggregatedNewspapers,"Courier-Mail (Australia)",,"Factiva","English","Full Coverage","Full Text",01/20/1998,"Active","Daily",,,,,
aggregatedNewspapers1468,AggregatedNewspapers,"Coventry Evening Telegraph (U.K.)",,"Factiva","English","Full Coverage","Full Text",04/01/1999,"Active","Daily",,,,,
aggregatedNewspapers1469,AggregatedNewspapers,"Cronista (Abstracts), El",,"Factiva","English","Selected Coverage","Translated Abstracts",04/10/1998,"Active","Irregular",,,,,
aggregatedNewspapers1470,AggregatedNewspapers,"Dagbladet Information (Danish Language)",,"Factiva","Danish","Full Coverage","Full Text",02/06/2001,"Active","Monday-Saturday",,,,,
aggregatedNewspapers1471,AggregatedNewspapers,"Dagens Industri (Swedish Language)",,"Factiva","Swedish","Full Coverage","Full Text",03/01/2001,"Active","Monday-Saturday",,,,,
aggregatedNewspapers1472,AggregatedNewspapers,"Daily Mail (U.K.)",,"Factiva","English","Full Coverage","Full Text",12/31/1981,"Active","Daily",,,,,
aggregatedNewspapers1473,AggregatedNewspapers,"Daily News (Taranaki, N.Z.)",,"Factiva","English","Full Coverage","Full Text",01/03/1997,"Active","Monday-Saturday",,,,,
aggregatedNewspapers1474,AggregatedNewspapers,"Daily Post (Liverpool)",,"Factiva","English","Full Coverage","Full Text",10/01/2001,"Active","Daily",,,,,
aggregatedNewspapers1475,AggregatedNewspapers,"Daily Press",,"Factiva","English","Full Coverage","Full Text",08/01/2002,"Active","Daily",,,,,
aggregatedNewspapers1476,AggregatedNewspapers,"Daily Star (U.K.)",,"Factiva","English","Full Coverage","Full Text",01/27/2001,"Active","Daily",,,,,
aggregatedNewspapers1477,AggregatedNewspapers,"Daily Telegraph (ABIX abstracts)",,"Factiva","English","Selected Coverage","Abstracts",10/05/1996,"Active","Daily",,,,,
aggregatedNewspapers1478,AggregatedNewspapers,"Daily Telegraph (Australia)",,"Factiva","English","Full Coverage","Full Text",07/08/1996,"Active","Monday-Saturday",,,,,
aggregatedNewspapers1479,AggregatedNewspapers,"Derby Evening Telegraph (U.K.)",,"Factiva","English","Selected Coverage","Full Text",06/18/1999,"Active","Daily",,,,,
aggregatedNewspapers1480,AggregatedNewspapers,"Derby Evening Telegraph (U.K., Abstracts)",,"Factiva","English","Selected Coverage","Abstracts",11/18/1996,"Active","Daily",,,,,
aggregatedNewspapers1481,AggregatedNewspapers,"Derby Express",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1482,AggregatedNewspapers,"Diario (Spanish Language), El",,"Factiva","Spanish","Full Coverage","Full Text",06/26/2002,"Active","Monday-Friday",,,,,
aggregatedNewspapers1483,AggregatedNewspapers,"Diario de Leﾗn (Spanish Language)",,"Factiva","Spanish","Full Coverage","Full Text",05/01/2001,"Active","Daily",,,,,
aggregatedNewspapers1484,AggregatedNewspapers,"Dundee Courier & Advertiser (U.K., Abstracts)",,"Factiva","English","Selected Coverage","Abstracts",11/18/1996,"Active","Daily",,,,,
aggregatedNewspapers1485,AggregatedNewspapers,"DVZ - Deutsche Verkehrszeitung (German Language)",,"Factiva","German","Full Coverage","Full Text",11/12/1996,"Active","Three times a week",,,,,
aggregatedNewspapers1486,AggregatedNewspapers,"East Anglian Daily Times (U.K., Abstracts)",,"Factiva","English","Selected Coverage","Abstracts",11/16/1996,"Active","Daily",,,,,
aggregatedNewspapers1487,AggregatedNewspapers,"East Grinstead Courier (U.K.)",,"Factiva","English","Full Coverage","Full Text",12/11/1997,"Active","Weekly",,,,,
aggregatedNewspapers1488,AggregatedNewspapers,"East London Advertiser (Abstracts)",,"Factiva","English","Selected Coverage","Abstracts",11/28/1996,"Active","Daily",,,,,
aggregatedNewspapers1489,AggregatedNewspapers,"Economic Daily News",,"Factiva","English","Selected Coverage","Translated Abstracts",01/01/2001,"Active","Daily",,,,,
aggregatedNewspapers1490,AggregatedNewspapers,"Economista (Abstracts), El",,"Factiva","English","Selected Coverage","Translated Abstracts",11/14/2000,"Active","Irregular",,,,,
aggregatedNewspapers1491,AggregatedNewspapers,"Edge Malaysia, The",,"Factiva","English","Full Coverage","Full Text",08/04/1997,"Active","Daily",,,,,
aggregatedNewspapers1492,AggregatedNewspapers,"Edinburgh Evening News",,"Factiva","English","Selected Coverage","Abstracts",11/18/1996,"Active","Daily",,,,,
aggregatedNewspapers1493,AggregatedNewspapers,"Edmonton Journal",,"Factiva","English","Full Coverage","Full Text",12/01/2001,"Active","Daily",,,,,
aggregatedNewspapers1494,AggregatedNewspapers,"Essex Chronicle Series (U.K.)",,"Factiva","English","Full Coverage","Full Text",06/09/1998,"Active","Weekly",,,,,
aggregatedNewspapers1495,AggregatedNewspapers,"Evening Express (U.K.)",,"Factiva","English","Full Coverage","Full Text",01/12/1998,"Active","Daily",,,,,
aggregatedNewspapers1496,AggregatedNewspapers,"Evening Herald (U.K.)",,"Factiva","English","Full Coverage","Full Text",05/26/1998,"Active","Weekly",,,,,
aggregatedNewspapers1497,AggregatedNewspapers,"Evening Mail (U.K.)",,"Factiva","English","Full Coverage","Full Text",04/01/1999,"Active","Daily",,,,,
aggregatedNewspapers1498,AggregatedNewspapers,"Evening News (Edinburgh, Scotland)",,"Factiva","English","Selected Coverage","Full Text",02/18/1998,"Active","Daily",,,,,
aggregatedNewspapers1499,AggregatedNewspapers,"Evening Standard (U.K.), The",,"Factiva","English","Full Coverage","Full Text",12/31/1981,"Active","Daily",,,,,
aggregatedNewspapers1500,AggregatedNewspapers,"Evening Times (U.K.)",,"Factiva","English","Full Coverage","Full Text",08/05/2000,"Active","Daily",,,,,
aggregatedNewspapers1501,AggregatedNewspapers,"Exeter Leader",,"Factiva","English","Full Coverage","Full Text",08/08/2002,"Active","Weekly",,,,,
aggregatedNewspapers1502,AggregatedNewspapers,"Express - Daily (U.K.), The",,"Factiva","English","Full Coverage","Full Text",01/01/1994,"Active","Daily",,,,,
aggregatedNewspapers1503,AggregatedNewspapers,"Express and Echo (U.K.)",,"Factiva","English","Full Coverage","Full Text",06/19/1998,"Active","Daily",,,,,
aggregatedNewspapers1504,AggregatedNewspapers,"Express on Sunday (U.K.), The",,"Factiva","English","Full Coverage","Full Text",04/16/2000,"Active","Weekly",,,,,
aggregatedNewspapers1505,AggregatedNewspapers,"Factiva Resumen de Noticias (Spanish Language)",,"Factiva","Spanish","Full Coverage","Full Text",04/09/1999,"Active","Monday-Friday",,,,,
aggregatedNewspapers1506,AggregatedNewspapers,"Figyelo (Abstracts)",,"Factiva","English","Selected Coverage","Translated Abstracts",08/30/1990,"Active","Weekly",,,,,
aggregatedNewspapers1507,AggregatedNewspapers,"Financiero, El",,"Factiva","English","Selected Coverage","Translated Abstracts",11/14/2000,"Active","Daily",,,,,
aggregatedNewspapers1508,AggregatedNewspapers,"Forschung und Entwicklung (FAZ Institut) (German Language)",,"Factiva","German","Selected Coverage","Full Text",04/29/1997,"Active","Weekly",,,,,
