guid,nyu.libraries.collection,dc.title,dc.identifier,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.tag,dc.subject.controlled,dc.description
dataServices095,DataServices,National Center for Health Statistics,http://www.cdc.gov/nchswww/default.htm,Health,Aging,,,,,"Health, Nursing & Nutrition","A large collection of data on health and vital statistics, including births, aging, marriages, health care, physical activity, morbidity and mortality."
dataServices096,DataServices,National Child Care Information Center State Datasets,http://nccic.org/statedata/index.html,Child Care,,,,,,Area & Cultural Studies,"Data include demographic information about children, licensing requirements for family and center child care, as well as contact information for different State agencies involved in child care."
dataServices098,DataServices,National Education Longitudinal Study of 1988,http://nces.ed.gov/surveys/nels88/,Education,,,,,,Education,"A nationally representative sample of eighth-graders were first surveyed in the spring of 1988. A sample of these respondents were then resurveyed through four follow-ups in 1990, 1992, 1994, and 2000. On the questionnaire, students reported on a range of topics including: school, work, and home experiences; educational resources and support; the role in education of their parents and peers; neighborhood characteristics; educational and occupational aspirations; and other student perceptions."
dataServices099,DataServices,National Endowment for the Arts,http://www.nea.gov/,Arts,,,arts,arts funding,arts participation,Art,"A sampling of research reports reveal information on government spending and the arts, art as an economic activity, the employment situation of artists, public participation in the arts, and the demographic characteristics of art patrons. Often the research reports lead one back to other sources of information collected by the federal government."
dataServices101,DataServices,National Income and Product Accounts of the United States,http://www.bea.gov/bea/dn/nipaweb/,Labor,Trade,Financial Indicators,,,,Business & Economics (US),"Historical compilation of the estimates of the national income and product accounts covered in the Survey of Current Business. These figures show the production, distribution and use of the nation's output."
dataServices102,DataServices,Medical Expenditure Panel Survey,http://meps.ahrq.gov/mepsweb/,Medicine,Health,Economics,health care,health care costs,health insurance,"Health, Nursing & Nutrition","The Medical Expenditure Panel Survey (MEPS) is a set of large-scale surveys of families and individuals, their medical providers, and employers across the United States. MEPS is the most complete source of data on the cost and use of health care and health insurance coverage."
dataServices103,DataServices,National Nuclear Data Center,http://www.nndc.bnl.gov/,Nuclear Physics,,,,,,Science & Technology,"The National Nuclear Data Center (NNDC) collects, evaluates, and disseminates nuclear physics data for basic nuclear research and for applied nuclear technologies."
dataServices104,DataServices,NCES Projections of Education Statistics to 2017,http://nces.ed.gov/programs/projections/projections2017/,Education,,,,,,Education,"Provides 10-year projections of statistics for elementary and secondary schools and institutions of higher education; includes enrollments, graduates, teachers, and expenditures. Older projection reports are also available."
dataServices105,DataServices,NIST Chemistry WebBook,http://webbook.nist.gov/,Chemistry,,,,,,Science & Technology,"Provides access to data compiled and distributed by the National Institute of Standards and Technology (NIST) Standard Reference Data Program. Data includes thermochemical, thermophysical, ion energies, etc."
dataServices106,DataServices,NIST Physical Measurement Laboratory Physical Reference Data,http://physics.nist.gov/PhysRefData/contents.html,Physics,,,,,,Science & Technology,"The Physical Measurement Laboratory (PML) develops and disseminates the national standards of length, mass, force and shock, acceleration, time and frequency, electricity, temperature, humidity, pressure and vacuum, liquid and gas flow, and electromagnetic, optical, microwave, acoustic, ultrasonic, and ionizing radiation."
dataServices107,DataServices,Odum Institute for Research In Social Science,http://arc.irss.unc.edu/dvn/,Data Archive,Public Opinion,,,,,Data Archives,"The Odum Institute maintains one of the oldest and largest catalog of machine-readable data in the U.S. It has an extensive collection of U.S. Census data, including one of the most complete holdings for 1970 Census files. Other major sources of data include the North Carolina State Data Center, which distributes North Carolina census data; and the National Center for Health Statistics."
dataServices108,DataServices,OECD iLibrary - International Direct Investment Statistics ,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s14_about.htm?jnlissn=16081080,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices109,DataServices,OECD iLibrary - Agriculture & Food,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s1_about.htm?jnlissn=16081056,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices110,DataServices,OECD iLibrary - Bank Profitability,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s2_about.htm?jnlissn=16081064,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices111,DataServices,OECD iLibrary - Economic Outlook,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s3_about.htm?jnlissn=16081153,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices112,DataServices,OECD iLibrary - Education Statistics (formerly SourceOECD Education at a Glance),http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s4_about.htm?jnlissn=16081250,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices113,DataServices,OECD iLibrary - Employment and Labour Markets,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s5_about.htm?jnlissn=16081161,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices114,DataServices,OECD iLibrary - Globalisation,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s6_about.htm?jnlissn=16081293,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices115,DataServices,OECD iLibrary - Indicators of Industry and Services,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s7_about.htm?jnlissn=16081196,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices116,DataServices,OECD iLibrary - Institutional Investors,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s9_about.htm?jnlissn=16081072,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices117,DataServices,OECD iLibrary - Insurance,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s10_about.htm?jnlissn=16812026,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices118,DataServices,OECD iLibrary - International Development,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s11_about.htm?jnlissn=16081110,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices119,DataServices,OECD iLibrary - International Migration Statistics,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s12_about.htm?jnlissn=16081269,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices120,DataServices,OECD iLibrary - International Trade and Competitiveness Indicators,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s13_about.htm?jnlissn=16081145,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices121,DataServices,OECD iLibrary - ITCS International Trade by Commodity Database,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s15_about.htm?jnlissn=16081218,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices122,DataServices,OECD iLibrary - Main Economic Indicators,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s16_about.htm?jnlissn=16081234,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices123,DataServices,OECD iLibrary - Monthly Statistics of International Trade,http://fiordiliji.sourceoecd.org/vl=4718250/cl=19/nw=1/rpsv/statistic/s17_about.htm?jnlissn=16081226,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices124,DataServices,OECD iLibrary - National Accounts Database,http://fiordiliji.sourceoecd.org/vl=4718250/cl=19/nw=1/rpsv/statistic/s18_about.htm?jnlissn=16081188,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices125,DataServices,OECD iLibrary - OECD Health Data 2007,http://lysander.sourceoecd.org/vl=1146862/cl=14/nw=1/rpsv/statistic/s37_about.htm?jnlissn=99991012,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices126,DataServices,OECD iLibrary - Revenue Statistics of OECD Member Countries Database,http://caliban.sourceoecd.org/vl=2614898/cl=21/nw=1/rpsv/statistic/s19_about.htm?jnlissn=16081099,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices127,DataServices,OECD iLibrary - Science and Technology Database,http://caliban.sourceoecd.org/vl=2614898/cl=21/nw=1/rpsv/statistic/s20_about.htm?jnlissn=16081242,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices128,DataServices,OECD iLibrary - Services Statistics,http://miranda.sourceoecd.org/vl=4187304/cl=40/nw=1/rpsv/statistic/s21_about.htm?jnlissn=16081277,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices129,DataServices,OECD iLibrary - Social Expenditure Database,http://miranda.sourceoecd.org/vl=4187304/cl=40/nw=1/rpsv/statistic/s22_about.htm?jnlissn=1608117x,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices130,DataServices,OECD iLibrary - STAN Structural Analysis,http://caliban.sourceoecd.org/vl=2614898/cl=21/nw=1/rpsv/statistic/s23_about.htm?jnlissn=16081307,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices131,DataServices,OECD iLibrary - Structural and Demographic Business Statistics (formerly Structural Statistics for Industry and Services),http://miranda.sourceoecd.org/vl=4187304/cl=40/nw=1/rpsv/statistic/s8_about.htm?jnlissn=1608120x,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices132,DataServices,OECD iLibrary - Taxing Wages Statistics,http://miranda.sourceoecd.org/vl=4187304/cl=40/nw=1/rpsv/statistic/s24_about.htm?jnlissn=16081102,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices133,DataServices,OECD iLibrary - Telecommunications Database,http://oberon.sourceoecd.org/vl=1557536/cl=19/nw=1/rpsv/statistic/s25_about.htm?jnlissn=16081315,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices134,DataServices,OECD iLibrary - Economic Outlook,http://oberon.sourceoecd.org/vl=378837/cl=18/nw=1/rpsv/periodical/p5_about.htm?jnlissn=04745574,Economic Indicators,,,Economic Indicators,,,Business & Economics (Intl),"An assessment of economic trends, prospects and policies in OECD countries. Each issue contains an overall analysis of the latest economic trends and short-term projections, and occasional special studies of timely issues. Historical tables provide percentage rates of change to illustrate the fluctuations of main economic variables over a 20-30 year period."
dataServices135,DataServices,OECD iLibrary - Economic Surveys,http://oberon.sourceoecd.org/vl=378837/cl=18/nw=1/rpsv/periodical/p7_about.htm?jnlissn=03766438,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices136,DataServices,OECD iLibrary - Main Economic Indicators,"http://www.oecd.org/document/54/0,3343,en_2649_33715_15569334_1_1_1_1,00.html",Economic Indicators,,,Economic Indicators,,,Business & Economics (Intl),Provides statistics on recent economic developments in OECD member countries. It is divided into two parts: indicators by subject and indicators by country. A separate supplement assembling sources and definitions on the indicators presented is published at annual intervals to reflect any changes in the composition of the series.
dataServices137,DataServices,OECD.Stat,http://fiordiliji.sourceoecd.org/vl=4718250/cl=19/nw=1/rpsv/statistic/s36_about.htm?jnlissn=99991004,Economic Indicators,,,,,,Business & Economics (Intl),OECD.Stat enables users to search for and extract data from across OECDís many databases included in OECD iLibrary's Statistics.
dataServices138,DataServices,Partners in Information Access for the Public Health Workforce - Health Data Tools & Statistics,http://phpartners.org/health_stats.html,Public Health,,,,,,"Health, Nursing & Nutrition","A collaboration of U.S. government agencies, public health organizations and health sciences libraries providing data and information including health trends, CDC statistics, global health rates, and access to data sets."
dataServices139,DataServices,Penn World Table,http://pwt.econ.upenn.edu/php_site/pwt_index.php,Demograhics,Economic Indicators,,Demographics,Economic Indicators,,Business & Economics (Intl),The Penn World Table provides purchasing power parity and national income accounts converted to international prices for 189 countries/territories for some or all of the years 1950-2010.
dataServices140,DataServices,Political Database of the Americas,http://pdba.georgetown.edu/,Politics,,,political systems,government,,Policy & Political Science,"Through its website the PDBA offers centralized and systematized information about institutions and political processes, national constitutions, branches of government, elections, political constitutional studies and other subjects related to the strengthening of democracy in the Americas. The full text of constitutions, election results, and rosters of political leaders (past and present) are available here."
dataServices141,DataServices,Producer Price Indexes,http://www.bls.gov/ppi/,Producer Price Index,Commodities,,,,,Business & Economics (Intl),"(Formerly called the Wholesale Price Indexes) A monthly report measuring the average change in prices received by commodity producers in all stages of production, from crude goods to finished products, by commodity and by industry. These indexes are designed to measure real price changes. An annual supplement presents annual averages, cumulated monthly data for the year, and information on weights."
dataServices142,DataServices,Public Health Maps,http://www.cdc.gov/epiinfo/maps.htm,Health,Public Health,,,,,"Health, Nursing & Nutrition","Chief product available through this page is EpiInfo, a CDC software package that allows epidemiologists to access and analyze epidemiological data for their areas of responsibility. The web page also links to a wide variety of additional data sources, including health statistics for most US states as well as international statistics. Page also includes overviews of the benefits of GIS for public health."
dataServices143,DataServices,Roper Center Public Opinion Archives,https://arch.library.nyu.edu/databases/proxy/NYU02495,public opinion,,,,,,Policy & Political Science,"The Roper Center archives datasets from thousands of surveys with national adult, state, foreign, and special subpopulation samples. **Users must register with an NYU email address to download data."
dataServices144,DataServices,School District Demographics System,http://nces.ed.gov/surveys/sdds/,Education,,,,,,Education,"Provides access to school district geographic and demographic data useful for describing and analyzing characteristics of school districts, children, and K-12 education."
dataServices145,DataServices,National Science Foundation's Science and Engineering Statistics,http://www.nsf.gov/statistics/,Science,Engineering,R&D,,,,Science & Technology,"Publications, data, and analyses about science and engineering resources in the US."
dataServices146,DataServices,Sloan Digital Sky Survey (SDSS),http://cas.sdss.org/dr6/en/,Astronomy,,,,,,Science & Technology,"The Sloan Digital Sky Survey (see www.sdss.org for general information) will map one-quarter of the entire sky and perform a redshift survey of galaxies, quasars and stars."
dataServices147,DataServices,Smithsonian/NASA Astrophysics Data System,http://adsabs.harvard.edu/,Astronomy,,,,,,Science & Technology,"The Astrophysics Data System (ADS) is a NASA-funded project which maintains three bibliographic databases containing more than 4.8 million records in Astronomy and Astrophysics, Physics.  Also includes ArXiv e-prints."
dataServices148,DataServices,Social Science Electronic Data Library (SSEDL),https://arch.library.nyu.edu/databases/proxy/NYU03185,Demographics,,,,,,Population & Demography,"The SSEDL contains numerous datasets which are organized into nine topical data archives: AIDS/STDs, Disability, the American Family, Adolescent Pregnancy and Pregnancy Prevention, Aging, Maternal Drug Abuse, Child Well-Being and Poverty, Complementary and Alternative Medicine and Contextual (Geographic) Data."
dataServices149,DataServices,OECD iLibrary - CO2 Emissions from Fuel Combustion,http://oberon.sourceoecd.org/vl=1557536/cl=19/nw=1/rpsv/statistic/s26_about.htm?jnlissn=16834291,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices150,DataServices,OECD iLibrary - Coal Information,http://fiordiliji.sourceoecd.org/vl=4921231/cl=42/nw=1/rpsv/statistic/s27_about.htm?jnlissn=16834275,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices151,DataServices,OECD iLibrary - Electricity Information,http://oberon.sourceoecd.org/vl=1557536/cl=19/nw=1/rpsv/statistic/s28_about.htm?jnlissn=16834283,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices152,DataServices,OECD iLibrary - Energy Prices and Taxes,http://oberon.sourceoecd.org/vl=1557536/cl=19/nw=1/rpsv/statistic/s29_about.htm?jnlissn=1683626x,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices153,DataServices,OECD iLibrary - Energy Technology R&D,http://oberon.sourceoecd.org/vl=1557536/cl=19/nw=1/rpsv/statistic/s30_about.htm?jnlissn=17266564,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices154,DataServices,OECD iLibrary - Forecasts from Energy Policies ,http://oberon.sourceoecd.org/vl=1557536/cl=19/nw=1/rpsv/statistic/s31_about.htm?jnlissn=17266572,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices155,DataServices,OECD iLibrary - Natural Gas Information,http://oberon.sourceoecd.org/vl=1557536/cl=19/nw=1/rpsv/statistic/s32_about.htm?jnlissn=16834267,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices156,DataServices,OECD iLibrary - Oil Information,http://lysander.sourceoecd.org/vl=2061294/cl=18/nw=1/rpsv/statistic/s33_about.htm?jnlissn=16834259,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices157,DataServices,OECD iLibrary - Renewables Information,http://lysander.sourceoecd.org/vl=2061294/cl=18/nw=1/rpsv/statistic/s34_about.htm?jnlissn=17266580,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices158,DataServices,OECD iLibrary - World Energy Statistics and Balances,http://oberon.sourceoecd.org/vl=1557536/cl=19/nw=1/rpsv/statistic/s35_about.htm?jnlissn=16834240,Economic Indicators,,,,,,Business & Economics (Intl),"A good source for in-depth economic and political analysis. Includes short and long term prospects, comparisons from year to year and country to country. One for each of the OECD countries."
dataServices160,DataServices,State Education Data Profiles,http://nces.ed.gov/programs/stateprofiles/,Education,Demograhic Characteristics,,,,,Education,"Search for statewide information in elementary/secondary education characteristics and finance, postsecondary education, public libraries, assessments, and selected demographics for all states."
dataServices161,DataServices,Statistical Abstract of the United States,http://www.census.gov/compendia/statab/,Demograhic Characteristics,Education,Population,,,,Population & Demography,"The Statistical Abstract of the United States, published 1878-2012, is the authoritative and comprehensive summary of statistics on the social, political, and economic organization of the United States. Use the Abstract as a convenient volume for statistical reference, and as a guide to sources of more information both in print and on the Web. Sources of data include the Census Bureau, Bureau of Labor Statistics, Bureau of Economic Analysis, and many other Federal agencies and private organizations. "
dataServices162,DataServices,ProQuest Statistical Insight,https://arch.library.nyu.edu/databases/proxy/NYU02619,Economic Indicators,,,Economic Indicators,,,Data Archives,"Indexing of the statistical publications of many government and inter-governmental agencies, including the IMF, UN, OECD, World Bank and others."
dataServices163,DataServices,Condition of Education Reports (NCES),http://nces.ed.gov/pubsearch/index.asp?HasSearched=1&searchcat2=subjectindex&L1=9&L2=0,Education,,,,,,Education,"An annual report to Congress by the National Center for Education Statistics that focuses on 60 indicators, representing a consensus of professional judgment on the most significant national measures of the condition and progress of education. Older Condition of Education reports are also available."
dataServices164,DataServices,Gallup Brain,https://arch.library.nyu.edu/databases/proxy/NYU02501,public opinion,,,,,,Policy & Political Science,"The Gallup Brain is a searchable, living record of more than 70 years of public opinion research. Coverage is 1930 forward."
dataServices165,DataServices,General Social Survey (GSS),http://www.norc.org/GSS+Website/,Demographics,,,social attitudes,socioeconomic status,national identity,Population & Demography,"The GSS contains a standard 'core' of demographic, behavioral, and attitudinal questions, plus topics of special interest. Many of the core questions have remained unchanged since 1972 to facilitate time-trend studies as well as replication of earlier findings. Registration required."
dataServices166,DataServices,Integrated Postsecondary Education Data System (IPEDS),http://nces.ed.gov/ipeds/,Education,Higher Education,,,,,Education,"The Integrated Postsecondary Education Data System (IPEDS), established as the core postsecondary education data collection program for NCES, is a system of surveys designed to collect data from all primary providers of postsecondary education. IPEDS is a single, comprehensive system designed to encompass all institutions and educational organizations whose primary purpose is to provide postsecondary education. The IPEDS system is built around a series of interrelated surveys to collect institution-level data in such areas as enrollments, program completions, faculty, staff, and finances."
dataServices167,DataServices,National Longitudinal Study of Adolescent Health (AddHealth),http://www.cpc.unc.edu/addhealth/,Health,Children,Adolescence,,,,"Health, Nursing & Nutrition","A nationally representative study that explores the causes of health-related behaviors of adolescents in grades 7 through 12 and their outcomes in young adulthood. Add Health seeks to examine how social contexts (families, friends, peers, schools, neighborhoods, and communities) influence adolescents' health and risk behaviors. Initiated in 1994 under a grant from the National Institute of Child Health and Human Development (NICHD) with co-funding from 17 other federal agencies, Add Health is the largest, most comprehensive survey of adolescents ever undertaken. Data at the individual, family, school, and community levels were collected in two waves between 1994 and 1996. In 2001 and 2002, Add Health respondents, 18 to 26 years old, were re-interviewed in a third wave to investigate the influence that adolescence has on young adulthood."
dataServices168,DataServices,Panel Study of Income Dynamics (PSID),http://psidonline.isr.umich.edu/,Labor,,,income,socioeconomic status,social indicators,Area & Cultural Studies,"The Panel Study of Income Dynamics (PSID), begun in 1968, is a longitudinal study of a representative sample of U.S. individuals (men, women, and children) and the family units in which they reside. It emphasizes the dynamic aspects of economic and demographic behavior, but its content is broad, including sociological and psychological measures. Registration required."
dataServices169,DataServices,Pew Research Center for the People and the Press,http://people-press.org/,Public Opinion,,,public opinion,,,Policy & Political Science,"The Center is an independent opinion research group that studies politics, public policy issues, and attitudes toward the press. It is best known for regular national surveys that measure public attentiveness to major news stories, and for polling that charts trends in values and fundamental political and social attitudes."
dataServices171,DataServices,Data.gov,http://www.data.gov/,Labor,Trade,Economic Indicators,,,,Business & Economics (US),"The purpose of Data.gov is to increase public access to high value, machine readable datasets generated by the Executive Branch of the Federal Government. Contains a Raw Data Catalog of reports and data from various government agencies, a Tool Catalog, and a Geodata Catalog."
dataServices172,DataServices,Wisconsin Longitudinal Study, http://dpls.dacc.wisc.edu/wls/index.html,Demographics,,,life history,,,Population & Demography,"The Wisconsin Longitudinal Study (WLS) is a long-term study based on a random sample of 10,317 men and women who graduated from Wisconsin high schools in 1957. A companion sample contains comparable data for a randomly selected sibling of most respondents. WLS data cover social background, youthful aspirations, schooling, military service, labor market experiences, family characteristics and events, social participation, psychological characteristics, health and well-being, and retirement."
dataServices174,DataServices,U.S. Department of Labor: Women's Bureau,http://www.dol.gov/wb/,Labor,Employment,Women,employment,employment discrimination,women,Area & Cultural Studies,"Links to quick facts related to women's employment, wages, and occupational summaries."
dataServices175,DataServices,UN Womenwatch,http://www.un.org/womenwatch/directory/statistics_and_indicators_60.htm,Women,Health,Education,,,,Area & Cultural Studies,International reports and statistics related to women's issues.
dataServices176,DataServices,Unesco Institute for Statistics,http://stats.uis.unesco.org/unesco/TableViewer/document.aspx?ReportId=143&IF_Language=eng,Education,International Education,,,,,Education,"Global and internationally comparable statistics on education, science, technology, culture and communication. The Data Centre contains over 1,000 types of indicators and raw data on education, literacy, science and technology, culture and communication from which tables can be built. The UIS collects the data for more than 200 countries from Member States and international organizations."
dataServices177,DataServices,UNESCO: Education for All Global Monitoring Report,http://www.unesco.org/new/en/education/themes/leading-the-international-agenda/efareport/,Education,,,,,,Education,"Extensive report on educational reform for 180 individual countries in the 1990s; population data throughout the 1990s includes total population, marital status, crime, children with handicaps, income and poverty; school data includes enrollment, number of schools, and educational facilities. Every year, the EFA Global Monitoring Report assesses progress toward the goal of providing basic education to all children, youth and adults by 2015."
dataServices178,DataServices,Uniform Crime Reports County Data,http://www2.lib.virginia.edu/stats-app/crimes/,Justice,,,,,,Policy & Political Science,"This collection consists of four county-level data files. The first three provide arrests for Part I offenses (murder, rape, robbery, assault, burglary, larceny, auto theft, and arson) and for Part II offenses (forgery, fraud, embezzlement, vandalism, weapons violations, sex offenses, drug and alcohol abuse violations, gambling, vagrancy, curfew violations, and runaways). The fourth file provides reported offenses (as opposed to arrests) for Part I crimes only. Two county population variables are included : one for total county population and the other for counties reporting six months or more of data. Data collected by the United States Department of Justice - Federal Bureau of Investigation. "
dataServices182,DataServices,United States Census Bureau,http://www.census.gov/,Demographics,,,census data,demographic characteristics,population,Population & Demography,"Portal to US Census data, including people and households, business and industry, geography and maps. Includes links to special topics and economic indicators."
dataServices183,DataServices,WHO Public Health Mapping and GIS Program,http://www.who.int/health_mapping/en/index.html,Public Health,,,,,,"Health, Nursing & Nutrition","The World Health Organization has maintained a public health mapping and GIS program since 1993. The goal of the program is to deliver timely information to health policymakers. This web page provides an overview of WHO mapping and GIS programs, and delineates the support that the mapping program can provide for specific health initiatives and for entire countries. One noteworthy product is the Global Health Atlas."
dataServices187,DataServices,World Development Indicators,http://ddp-ext.worldbank.org/ext/DDPQQ/member.do?method=getMembers&userid=1&queryId=6,Developing Countries,Economic Indicators,,Economic Indicators,,,Business & Economics (Intl),"500 time series indicators for 148 countries and regional and income groups, with basic indicators for a further 62 countries. Time series for most indicators cover 1960 to the present."
dataServices188,DataServices,World Economic Outlook,http://www.imf.org/external/pubs/ft/weo/2004/02/,Economic Indicators,,,Economic Indicators,,,Business & Economics (Intl),"Semiannual survey summarizing the current world economic situation and the short-term prospects. Charts, tables and a statistical appendix are included."
dataServices189,DataServices,World Health Organization: World Health Statistics Annual Reports,http://www.who.int/gho/publications/world_health_statistics/en/index.html,Public Health,,,,,,"Health, Nursing & Nutrition","The World Health Organization's World Health Statistics reports are collated from publications and databases produced by WHO's technical programmes and regional offices. The core set of indicators was selected on the basis of their relevance to global health, the availability and quality of the data, and the accuracy and comparability of estimates. The statistics for the indicators are derived from an interactive process of data collection, compilation, quality assessment and estimation occurring among WHO's technical programmes and its Member States. During this process, WHO strives to maximize the accessibility, accuracy, comparability and transparency of health statistics. "
